,dose1_date,city,dose1_all,dose1_all_c,pop_all,dose1_all_c_prcent
1,2020-12-14,Acton,0,0,7269,0
2,2020-12-14,Agoura Hills,0,0,18920,0
3,2020-12-14,Agua Dulce,0,0,3871,0
4,2020-12-14,Alhambra,0,0,76362,0
5,2020-12-14,Altadena,0,0,38928,0
6,2020-12-14,Anaverde,0,0,1347,0
7,2020-12-14,Angeles National Forest,0,0,1136,0
8,2020-12-14,Arcadia,0,0,60474,0
9,2020-12-14,Artesia,0,0,15043,0
10,2020-12-14,Athens Village,0,0,4048,0
11,2020-12-14,Avalon,0,0,3266,0
12,2020-12-14,Avocado Heights,0,0,5780,0
13,2020-12-14,Azusa,0,0,56925,0
14,2020-12-14,Baldwin Park,0,0,65069,0
15,2020-12-14,Bassett,0,0,12572,0
16,2020-12-14,Bell,0,0,30235,0
17,2020-12-14,Bell Gardens,0,0,35056,0
18,2020-12-14,Bellflower,0,0,65994,0
19,2020-12-14,Beverly Hills,0,0,31578,0
20,2020-12-14,Bouquet Canyon,0,0,953,0
21,2020-12-14,Bradbury,0,0,979,0
22,2020-12-14,Burbank,0,0,93794,0
23,2020-12-14,Calabasas,0,0,21901,0
24,2020-12-14,Canyon Country,0,0,1676,0
25,2020-12-14,Carson,0,0,81850,0
26,2020-12-14,Castaic,0,0,24050,0
27,2020-12-14,Cerritos,0,0,47203,0
28,2020-12-14,Charter Oak,0,0,11566,0
29,2020-12-14,Claremont,0,0,34332,0
30,2020-12-14,Commerce,0,0,10917,0
31,2020-12-14,Compton,0,0,80305,0
32,2020-12-14,Covina,0,0,56881,0
33,2020-12-14,Cudahy,0,0,19865,0
34,2020-12-14,Culver City,0,0,35395,0
35,2020-12-14,Del Aire,0,0,3780,0
36,2020-12-14,Del Rey,0,0,381,0
37,2020-12-14,Del Sur,0,0,2227,0
38,2020-12-14,Desert View Highlands,0,0,2141,0
39,2020-12-14,Diamond Bar,0,0,51968,0
40,2020-12-14,Downey,0,0,97261,0
41,2020-12-14,Duarte,0,0,22893,0
42,2020-12-14,East Covina,0,0,319,0
43,2020-12-14,East La Mirada,0,0,4706,0
44,2020-12-14,East Lancaster,0,0,97,0
45,2020-12-14,East Los Angeles,0,0,102599,0
46,2020-12-14,East Pasadena,0,0,6758,0
47,2020-12-14,East Rancho Dominguez,0,0,12183,0
48,2020-12-14,East San Gabriel,0,0,21191,0
49,2020-12-14,East Whittier,0,0,4590,0
50,2020-12-14,El Camino Village,0,0,7300,0
51,2020-12-14,El Monte,0,0,98965,0
52,2020-12-14,El Segundo,0,0,15096,0
53,2020-12-14,Elizabeth Lake,0,0,1517,0
54,2020-12-14,Florence-Graham,0,0,51924,0
55,2020-12-14,Gardena,0,0,52660,0
56,2020-12-14,Glendale,0,0,184755,0
57,2020-12-14,Glendora,0,0,47029,0
58,2020-12-14,Hacienda Heights,0,0,50240,0
59,2020-12-14,Hawaiian Gardens,0,0,12077,0
60,2020-12-14,Hawthorne,0,0,75036,0
61,2020-12-14,Hermosa Beach,0,0,17571,0
62,2020-12-14,Hi Vista,0,0,934,0
63,2020-12-14,Hidden Hills,0,0,1758,0
64,2020-12-14,Huntington Park,0,0,49109,0
65,2020-12-14,Inglewood,0,0,95382,0
66,2020-12-14,Irwindale,0,0,1332,0
67,2020-12-14,Kagel/Lopez Canyons,0,0,1167,0
68,2020-12-14,La Canada Flintridge,0,0,19192,0
69,2020-12-14,La Crescenta-Montrose,0,0,17899,0
70,2020-12-14,La Habra Heights,0,0,5732,0
71,2020-12-14,La Mirada,0,0,43990,0
72,2020-12-14,La Puente,0,0,34490,0
73,2020-12-14,La Rambla,0,0,1785,0
74,2020-12-14,La Verne,0,0,31907,0
75,2020-12-14,Ladera Heights,0,0,6422,0
76,2020-12-14,Lake Hughes,0,0,570,0
77,2020-12-14,Lake Los Angeles,0,0,10813,0
78,2020-12-14,Lake Manor,0,0,1470,0
79,2020-12-14,Lakewood,0,0,70726,0
80,2020-12-14,Lancaster,0,0,134419,0
81,2020-12-14,Lawndale,0,0,28284,0
82,2020-12-14,Lennox,0,0,18429,0
83,2020-12-14,Leona Valley,0,0,1630,0
84,2020-12-14,Littlerock,0,0,3507,0
85,2020-12-14,Littlerock/Juniper Hills,0,0,1277,0
86,2020-12-14,Littlerock/Pearblossom,0,0,3042,0
87,2020-12-14,Llano,0,0,783,0
88,2020-12-14,Lomita,0,0,17918,0
89,2020-12-14,Long Beach,0,0,405914,0
90,2020-12-14,Los Angeles,0,0,3466830,0
91,2020-12-14,Lynwood,0,0,58354,0
92,2020-12-14,Malibu,0,0,11447,0
93,2020-12-14,Manhattan Beach,0,0,31855,0
94,2020-12-14,Marina del Rey,0,0,8508,0
95,2020-12-14,Maywood,0,0,22856,0
96,2020-12-14,Monrovia,0,0,36382,0
97,2020-12-14,Montebello,0,0,55095,0
98,2020-12-14,Monterey Park,0,0,55132,0
99,2020-12-14,Newhall,0,0,195,0
100,2020-12-14,North Lancaster,0,0,1116,0
101,2020-12-14,North Whittier,0,0,7231,0
102,2020-12-14,Norwalk,0,0,90824,0
103,2020-12-14,Padua Hills,0,0,203,0
104,2020-12-14,Palmdale,0,0,132486,0
105,2020-12-14,Palos Verdes Estates,0,0,12635,0
106,2020-12-14,Palos Verdes Peninsula,0,0,595,0
107,2020-12-14,Paramount,0,0,45813,0
108,2020-12-14,Pasadena,0,0,126923,0
109,2020-12-14,Pearblossom/Llano,0,0,1748,0
110,2020-12-14,Pellissier Village,0,0,515,0
111,2020-12-14,Pico Rivera,0,0,54715,0
112,2020-12-14,Placerita Canyon,0,0,383,0
113,2020-12-14,Pomona,0,0,130766,0
114,2020-12-14,Quartz Hill,0,0,11319,0
115,2020-12-14,Rancho Dominguez,0,0,2407,0
116,2020-12-14,Rancho Palos Verdes,0,0,39438,0
