city,All Ages,Age Under 15,Age 15-17,Age 18-24,Age 25-34,Age 35-54,Age 55-64,Age 65+
Acton,7185,989,278,568,657,1829,1638,1226
Agoura Hills,20636,3398,1204,1379,2001,6488,3184,2982
Agua Dulce,3728,515,190,285,475,937,667,659
Alhambra,84974,12129,2565,7265,13884,23789,11020,14322
Alondra Park,8097,1652,384,914,1090,1914,1075,1068
Altadena,45146,7124,1676,3350,5536,12928,6774,7758
Arcadia,58207,10057,2656,3651,6175,16698,8284,10686
Artesia,16817,2831,698,1373,2373,5044,2013,2485
Avalon,3763,860,180,127,473,1088,617,517
Avocado Heights,15903,2876,518,1739,2427,3997,2052,2294
Azusa,49544,9267,1626,10065,7494,11615,4674,4803
Baldwin Park,76222,15121,3269,8117,12385,20346,8147,8837
Bell,35809,8391,1841,3916,5974,9629,3079,2979
Bellflower,42641,10794,2359,5212,6531,11122,3464,3159
Bell Gardens,77529,17032,3370,7945,11503,20879,8233,8567
Beverly Hills,34362,5109,1601,2079,4804,9138,4224,7407
Bradbury,916,109,21,74,156,222,136,198
Burbank,104275,16237,3373,8669,16711,30583,13085,15617
Calabasas,24077,4601,1068,1934,2343,6452,3623,4056
Carson,92517,15744,3609,9214,12809,24369,11561,15211
Castaic,18921,4229,1031,1551,2093,5291,3054,1672
Cerritos,50172,7521,2281,3835,4980,13167,6954,11434
Charter Oak,9760,2006,395,672,1615,2671,1314,1087
Citrus,10771,2018,640,1111,1579,3108,1209,1106
Claremont,36025,5149,1382,6049,3614,8680,4224,6927
Commerce,12933,2608,574,1236,1995,3230,1531,1759
Compton,97301,23447,5085,11717,14088,25316,9059,8589
Covina,48403,8990,2347,4642,6831,13771,5228,6594
Cudahy,24016,6258,1313,2861,3654,6196,2076,1658
Culver City,39295,6289,1093,2760,5640,12111,5189,6213
Del Aire,10065,2144,321,773,1958,2709,1059,1101
Desert View Highlands,2496,560,108,158,279,518,423,450
Diamond Bar,56434,9458,1982,4568,7501,15554,8552,8819
Downey,112901,22446,4748,10819,17447,31575,12899,12967
Duarte,21713,3430,754,2003,2833,6025,2643,4025
East Los Angeles,119827,26815,5592,12905,19595,30948,11184,12788
East Pasadena,5971,998,169,460,687,1826,739,1092
