city,AIAN,Asian,Black,NHPI,White,Other,two or more,Hispanic
Los Angeles County,0.73,14.61,8.14,0.27,26.2,20.98,4,48.49
Acton,0.41,2.46,0.53,0,74.43,5.32,2.1,20.88
Agoura Hills,0,8.63,2.45,0,74.34,3.01,4.29,10.55
Agua Dulce,2.75,2.43,0.19,0,71.41,8.69,1.68,22.55
Alhambra,0.47,51.17,2.24,0.26,8.86,20.01,2.96,35.93
Alondra Park,6.32,16.73,6.47,0.96,19.31,26.74,5.5,55.27
Altadena,0.83,6.44,22.17,0.13,39.73,11.21,4.93,27.71
Arcadia,0.12,61.59,1.95,0.33,22.12,4.12,3.46,11.1
Artesia,0.36,36.69,5.07,0.3,15.18,25.32,4.01,39.95
Avalon,0,0.05,0.11,0.03,43.29,16.86,2.04,55.21
Avocado Heights,0.29,14.08,0.67,0,6.77,43.42,2.6,78.71
Azusa,1.16,12.92,3.52,0.16,19.07,22.88,6.04,63.07
Baldwin Park,1.56,19.39,1.54,0.48,3.93,28.96,6.19,74.48
Bell Gardens,0.64,0.58,1.65,0.18,5.13,16.58,1.6,91.9
Bell,0.18,0.64,1.16,0.03,2.51,16.9,0.88,95.83
Bellflower,0.39,12.24,13.33,0.55,15.88,37.87,3.97,55.89
Beverly Hills,0.18,9.06,1.95,0,77.81,1.97,4.91,5.9
Bradbury,0,37.94,0.96,0,45.14,1.8,4.68,14.89
Burbank,0.77,12.14,3.03,0.01,56.92,7.4,4.84,23.49
Calabasas,0.42,8.25,1.6,0,75.79,2.15,4.74,9.13
Carson,0.7,26.66,23.81,2.65,7.02,14.17,5,37.33
Castaic,1.23,10.59,3.79,0.29,53.75,7.03,5.35,27.88
Cerritos,0.34,59.14,8.64,0.53,14.02,5.56,5.96,13.79
Charter Oak,2.1,13.69,4.12,0.08,20.59,17.91,6.42,58.18
Citrus,1.7,7.65,1.13,0.27,13.92,29.32,5.36,76.64
Claremont,0.98,14.3,5.33,0.05,48.93,8.36,7.1,25.38
Commerce,1.73,0.42,1.66,0.13,1.43,24.38,1.98,95.02
Compton,0.32,0.75,28.95,0.31,1.21,32.77,1.71,67.96
Covina,2.17,13.02,3.77,0.07,22.5,19.32,5.05,58.76
Cudahy,0.24,0.51,0.71,0.15,3.11,17.56,1.92,95.18
Culver City,0.31,16.33,8.75,0.11,45.79,6.36,6.91,23.72
Del Aire,0.71,8.23,8.84,1.17,31.34,17.7,7.01,45.44
Desert View Highlands,3.11,5.21,3.07,0,18.63,31.86,4.84,70.39
Diamond Bar,0.36,58.37,3.63,0.11,17.04,6.07,3.78,18.62
Downey,0.51,6.89,3.38,0.15,13.95,25.1,2.83,74.77
Duarte,1.31,17.2,6.09,0.05,24.7,11.1,6.39,49.89
East Los Angeles,0.73,1.16,0.48,0.03,2.07,49.91,1.59,96.2
East Pasadena,0.52,33.4,3.22,0.2,24.43,9.25,4.35,36.46
East Rancho Dominguez,0.66,1.17,14.12,0,1.35,41.48,2.2,82.26
East San Gabriel,0.3,52.63,1.49,0.04,18.09,14.39,2.47,26.13
East Whittier,0.5,5.19,0.74,0.23,38.19,23.84,3.37,54.22
El Monte,0.91,28.78,0.58,0.81,3.62,26.89,3.28,65.72
El Segundo,0.22,10.17,3.74,0.05,62.01,4.52,9.55,16.19
Elizabeth Lake,1.78,3.5,0.52,0,57.4,10.78,6.08,31.02
Florence-Graham,0.36,0.23,6.25,0.02,0.49,45.81,1.14,93.01
Gardena,0.65,24.9,22.53,1.18,9.4,21.29,4.84,39.31
Glendale,0.2,16.19,1.8,0.14,61.7,4.11,3.4,17.49
Glendora,0.56,11.56,1.92,0.27,47.88,8.11,7.21,34.35
Green Valley,0,0.8,0,0,75.71,0,6.23,17.26
Hacienda Heights,0.7,40.31,1.11,0.12,11.94,18.28,2.77,45.53
Hasley Canyon,0,2.27,1.83,0,73.71,12.14,2.27,22.18
Hawaiian Gardens,0.51,10.08,4.02,0,4.34,61.92,3.12,79.85
Hawthorne,0.63,7.7,24.87,0.4,10.34,26.26,3.9,54.85
Hermosa Beach,0.61,5.18,0.98,0,77.97,1.68,6.96,9.37
Hidden Hills,0,3.88,0,0,85.72,2.11,0.51,9.71
Huntington Park,0.66,0.29,1.18,0.21,1.52,29.49,1.21,97.13
Industry,0,3.22,0.54,0,26.27,18.23,11.26,65.42
Inglewood,1.08,2.07,40.9,0.49,4.46,23.48,4.11,50.57
Irwindale,0.14,0.65,0,0,8.46,29.84,10.47,90.32
La Canada Flintridge,0,31.1,0.76,0,54.02,1.85,5.96,10.01
La Crescenta-Montrose,0.28,27.83,0.29,0.43,50.81,4.92,5.19,16.26
La Habra Heights,0.18,16.9,0.09,0,45.59,14.15,4.17,36.22
La Mirada,0.61,21.68,1.81,0.08,31.73,19.02,5.99,42.02
La Puente,1.49,11.79,0.89,0.39,3.73,46.18,2.03,82.9
La Verne,0.7,9.43,3.3,0.03,49.59,7.09,5.65,36.11
Ladera Heights,0.53,4.88,71.51,0,12.61,0.2,7.3,5.48
Lake Hughes,1.92,5.38,0,0,80.96,7.31,0,13.65
Lake Los Angeles,0.12,0.71,8.85,0,32.87,14.47,2.82,56.49
Lakewood,0.53,19.19,9.06,1.1,34.34,14.6,6.33,33.78
Lancaster,0.59,4.66,21.03,0.07,30.07,7.51,4.56,41.55
Lawndale,0.17,11.02,10.21,1,14.57,30.76,4.28,61.53
Lennox,0.8,2.8,3.79,1.59,1.4,42.36,1.57,90.06
Leona Valley,3.5,0.64,1.02,0,83,2.93,1.15,11.97
