city,Households,Families,nonfamiily_household
Acton†,97857,114574.00,33363.00
Agoura Hills,122998,147303.00,62697.00
Agua Dulce†,106875,125893.00,24750.00
Alhambra,61384,68480.00,44148.00
Alondra Park†,61865,73982.00,44821.00
Altadena†,98693,108183.00,52656.00
Arcadia,93574,105303.00,46177.00
Artesia,67647,70511.00,38250.00
Avalon,74769,80750.00,31844.00
Avocado Heights†,75142,76227.00,35764.00
Azusa,68216,70205.00,48438.00
Baldwin Park,65904,68341.00,25644.00
Bell,44327,45763.00,22253.00
Bell Gardens,42223,41753.00,19805.00
Bellflower,60011,65840.00,34845.00
Beverly Hills,106936,152847.00,63704.00
Bradbury,146250,156875.00,-
Burbank,75827,97425.00,49469.00
Calabasas,125814,145000.00,70750.00
Carson,82305,89700.00,42262.00
Castaic†,117031,126353.00,54281.00
Cerritos,106190,114110.00,49536.00
Charter Oak†,74503,83906.00,35882.00
Citrus†,78865,78218.00,36389.00
Claremont,101420,128220.00,55200.00
Commerce,47518,54415.00,30219.00
Compton,52883,55275.00,27579.00
Covina,70780,78194.00,44142.00
Cudahy,46642,45660.00,25921.00
Culver City,95044,126968.00,63444.00
Del Aire†,103697,110000.00,76786.00
Desert View Highlands†,60703,81208.00,38438.00
Diamond Bar,99083,106569.00,55171.00
Downey,75878,79361.00,47618.00
Duarte,75083,94419.00,40708.00
East Los Angeles†,46082,49626.00,23906.00
East Pasadena†,92979,99837.00,55625.00
East Rancho Dominguez†,54317,54473.00,27183.00
East San Gabriel†,82716,95320.00,41905.00
East Whittier†,76373,84950.00,40817.00
El Monte,49003,52034.00,23423.00
El Segundo,109577,131875.00,74438.00
Elizabeth Lake†,63621,64485.00,58750.00
Florence-Graham†,44328,46255.00,25053.00
Gardena,58447,69667.00,40159.00
Glendale,66130,77506.00,42821.00
Glendora,96132,105618.00,46250.00
Green Valley†,82961,83487.00,63750.00
Hacienda Heights†,85953,90938.00,47560.00
Hasley Canyon†,127250,129038.00,-
Hawaiian Gardens,49483,54761.00,22181.00
Hawthorne,54215,60535.00,37755.00
Hermosa Beach,136702,196654.00,96344.00
Hidden Hills,246042,"250,000+",47917.00
Huntington Park,42447,44122.00,22313.00
Industry,89583,90000.00,-
Inglewood,54400,59972.00,37493.00
Irwindale,72500,86667.00,21250.00
La Cañada Flintridge,175788,198021.00,68295.00
La Crescenta-Montrose†,102989,123721.00,41293.00
La Habra Heights,115762,130000.00,51354.00
La Mirada,95685,103149.00,36485.00
La Puente,64592,65211.00,33333.00
La Verne,88131,106618.00,40000.00
Ladera Heights†,101439,168352.00,58848.00
Lake Hughes†,96563,-,-
Lake Los Angeles†,45881,46953.00,18849.00
Lakewood,93432,102400.00,51633.00
Lancaster,55237,60883.00,31122.00
Lawndale,62013,63670.00,45653.00
Lennox†,49316,49986.00,29909.00
Leona Valley†,97500,116250.00,-
Littlerock†,38973,-,25667.00
Lomita,71606,89583.00,43604.00
Long Beach,63017,72206.00,50184.00
Los Angeles,62142,70253.00,46419.00
Lynwood,52213,54392.00,28182.00
Malibu,150747,196114.00,87500.00
Manhattan Beach,153023,189578.00,88864.00
Marina del Rey†,118162,142330.00,105944.00
Mayflower Village†,95203,96976.00,41094.00
Maywood,44241,46239.00,27286.00
Monrovia,77111,87083.00,44936.00
Montebello,56150,62373.00,24799.00
Monterey Park,61819,67366.00,42235.00
North El Monte†,63875,79145.00,53165.00
Norwalk,70667,75219.00,36775.00
Palmdale,62865,65787.00,37438.00
Palos Verdes Estates,194543,215968.00,80625.00
Paramount,55670,58605.00,31048.00
Pasadena,83068,102328.00,61778.00
Pico Rivera,67636,73010.00,31299.00
Pomona,60598,62650.00,38054.00
Quartz Hill†,74071,84116.00,47639.00
Rancho Palos Verdes,138557,163761.00,64792.00
Redondo Beach,113499,140227.00,82362.00
Rolling Hills,250000,"250,000+",-
Rolling Hills Estates,150135,191750.00,82981.00
Rose Hills†,101364,130909.00,49474.00
Rosemead,57999,61706.00,31135.00
Rowland Heights†,75587,79916.00,36484.00
San Dimas,86410,103062.00,43048.00
San Fernando,58425,68083.00,27652.00
San Gabriel,62541,64083.00,37083.00
San Marino,166607,183934.00,56410.00
San Pasqual†,101964,134196.00,54286.00
Santa Clarita,99666,113167.00,58133.00
Santa Fe Springs,68685,77471.00,24835.00
Santa Monica,96570,131845.00,74368.00
Sierra Madre,100988,129331.00,68447.00
Signal Hill,75508,83070.00,59971.00
South El Monte,52204,55104.00,24788.00
South Gate,52321,53006.00,31498.00
South Monrovia Island†,63750,84063.00,17424.00
South Pasadena,104308,133077.00,71433.00
South San Gabriel†,70000,72344.00,40000.00
South San Jose Hills†,70218,71531.00,30074.00
South Whittier†,71458,77170.00,41340.00
Stevenson Ranch†,135179,162896.00,74350.00
Sun Village†,46502,47479.00,40895.00
Temple City,78516,90183.00,41733.00
Topanga†,128546,150370.00,86422.00
Torrance,93492,112040.00,54625.00
Val Verde†,88947,87500.00,-
Valinda†,84134,84127.00,39375.00
Vernon,67917,60833.00,68750.00
View Park-Windsor Hills†,92625,115333.00,61585.00
Vincent†,86011,86194.00,46574.00
Walnut,108669,117127.00,61435.00
Walnut Park†,52226,52545.00,32179.00
West Athens†,60299,68413.00,34840.00
West Carson†,73472,91784.00,44712.00
West Covina,82938,91319.00,39788.00
West Hollywood,74044,107483.00,64946.00
West Puente Valley†,75856,80022.00,24612.00
West Rancho Dominguez†,60155,67007.00,22455.00
West Whittier-Los Nietos†,76397,82228.00,41991.00
Westlake Village,140850,161750.00,80682.00
Westmont†,38600,46194.00,16131.00
Whittier,77270,87300.00,39766.00
Willowbrook†,43781,50353.00,14458.00
