Date,city,adj_case_14day_rate,adj_death_14day_rate,population
2021-08-19,Agoura Hills,475,0,20883
2021-08-19,Alhambra,302,1,86724
2021-08-19,Arcadia,243,1,57754
2021-08-19,Artesia,534,8,16795
2021-08-19,Avalon,103,0,3869
2021-08-19,Azusa,503,5,50040
2021-08-19,Baldwin Park,400,9,76769
2021-08-19,Bell,465,0,36332
2021-08-19,Bell Gardens,313,0,43071
2021-08-19,Bellflower,627,2,77735
2021-08-19,Beverly Hills,501,2,34520
2021-08-19,Bradbury,53,0,1069
2021-08-19,Burbank,376,0,107180
2021-08-19,Calabasas,421,4,24323
2021-08-19,Carson,553,5,93846
2021-08-19,Cerritos,299,0,50067
2021-08-19,Claremont,351,0,36484
2021-08-19,Commerce,554,0,13069
2021-08-19,Compton,443,9,99904
2021-08-19,Covina,586,0,49032
2021-08-19,Cudahy,662,16,24347
2021-08-19,Culver City,277,1,39865
2021-08-19,Diamond Bar,345,0,57515
2021-08-19,Downey,476,4,114263
2021-08-19,Duarte,441,0,22016
2021-08-19,El Monte,279,2,117269
2021-08-19,El Segundo,369,13,16786
2021-08-19,Gardena,487,6,61310
2021-08-19,Glendale,448,3,206493
2021-08-19,Glendora,432,4,52764
2021-08-19,Hawaiian Gardens,445,0,14676
2021-08-19,Hawthorne,436,5,88787
2021-08-19,Hermosa Beach,555,0,19670
2021-08-19,Hidden Hills,448,0,1890
2021-08-19,Huntington Park,363,0,59484
2021-08-19,Inglewood,459,6,113582
2021-08-19,Irwindale,920,0,1459
2021-08-19,La Canada Flintridge,415,0,20693
2021-08-19,La Habra Heights,45,0,5455
2021-08-19,La Mirada,465,4,49599
2021-08-19,La Puente,375,0,40697
2021-08-19,La Verne,392,7,33282
2021-08-19,Lakewood,501,5,80362
2021-08-19,Lancaster,665,4,161570
2021-08-19,Lawndale,345,3,33614
2021-08-19,Lomita,605,5,20729
2021-08-19,Lynwood,396,7,72047
2021-08-19,Malibu,399,0,12961
2021-08-19,Manhattan Beach,378,0,35999
2021-08-19,Maywood,367,0,28049
2021-08-19,Monrovia,379,0,38800
2021-08-19,Montebello,436,1,64375
2021-08-19,Monterey Park,254,5,62262
2021-08-19,Norwalk,467,5,107622
2021-08-19,Palmdale,622,9,158968
2021-08-19,Palos Verdes Estates,431,0,13522
2021-08-19,Paramount,457,8,56023
2021-08-19,Pico Rivera,491,3,64284
2021-08-19,Pomona,708,5,155931
2021-08-19,Rancho Palos Verdes,332,0,42747
2021-08-19,Redondo Beach,351,2,68697
2021-08-19,Rolling Hills,593,0,1940
2021-08-19,Rolling Hills Estates,314,0,8113
2021-08-19,Rosemead,236,0,55350
2021-08-19,San Dimas,563,2,34516
2021-08-19,San Fernando,627,0,24612
2021-08-19,San Gabriel,154,2,40954
2021-08-19,San Marino,161,4,13277
2021-08-19,Santa Clarita,619,1,220424
2021-08-19,Santa Fe Springs,677,9,18364
2021-08-19,Santa Monica,297,2,92446
2021-08-19,Sierra Madre,304,0,10989
2021-08-19,Signal Hill,334,0,11797
2021-08-19,South El Monte,407,0,20885
2021-08-19,South Gate,538,2,98155
2021-08-19,South Pasadena,361,3,26053
2021-08-19,Temple City,205,0,36455
2021-08-19,Torrance,288,0,149268
2021-08-19,Walnut,292,0,30532
2021-08-19,West Covina,373,2,108235
2021-08-19,West Hollywood,499,2,36951
2021-08-19,Westlake Village,122,0,8360
2021-08-19,Whittier,496,10,87432
2021-08-19,Los Angeles County,462,3,9651332
2021-08-18,Agoura Hills,453,0,20883
2021-08-18,Alhambra,308,1,86724
2021-08-18,Arcadia,232,1,57754
2021-08-18,Artesia,490,8,16795
2021-08-18,Avalon,88,0,3869
2021-08-18,Azusa,506,5,50040
2021-08-18,Baldwin Park,396,10,76769
2021-08-18,Bell,439,0,36332
2021-08-18,Bell Gardens,320,0,43071
2021-08-18,Bellflower,648,2,77735
2021-08-18,Beverly Hills,532,2,34520
2021-08-18,Bradbury,53,0,1069
2021-08-18,Burbank,393,0,107180
2021-08-18,Calabasas,438,4,24323
2021-08-18,Carson,546,4,93846
2021-08-18,Cerritos,300,0,50067
2021-08-18,Claremont,343,0,36484
2021-08-18,Commerce,571,0,13069
2021-08-18,Compton,460,8,99904
2021-08-18,Covina,593,1,49032
2021-08-18,Cudahy,625,16,24347
2021-08-18,Culver City,282,1,39865
2021-08-18,Diamond Bar,330,0,57515
2021-08-18,Downey,490,3,114263
2021-08-18,Duarte,458,0,22016
2021-08-18,El Monte,282,2,117269
2021-08-18,El Segundo,345,13,16786
2021-08-18,Gardena,494,6,61310
2021-08-18,Glendale,458,4,206493
2021-08-18,Glendora,439,4,52764
2021-08-18,Hawaiian Gardens,442,0,14676
2021-08-18,Hawthorne,433,4,88787
2021-08-18,Hermosa Beach,540,0,19670
2021-08-18,Hidden Hills,539,0,1890
2021-08-18,Huntington Park,370,1,59484
2021-08-18,Inglewood,477,6,113582
2021-08-18,Irwindale,976,0,1459
2021-08-18,La Canada Flintridge,421,0,20693
2021-08-18,La Habra Heights,45,0,5455
2021-08-18,La Mirada,460,6,49599
2021-08-18,La Puente,404,0,40697
2021-08-18,La Verne,435,9,33282
2021-08-18,Lakewood,513,5,80362
2021-08-18,Lancaster,675,3,161570
2021-08-18,Lawndale,344,3,33614
2021-08-18,Lomita,582,5,20729
2021-08-18,Lynwood,401,7,72047
2021-08-18,Malibu,416,0,12961
2021-08-18,Manhattan Beach,376,0,35999
2021-08-18,Maywood,373,0,28049
2021-08-18,Monrovia,392,0,38800
2021-08-18,Montebello,445,1,64375
2021-08-18,Monterey Park,249,5,62262
2021-08-18,Norwalk,476,4,107622
2021-08-18,Palmdale,629,7,158968
2021-08-18,Palos Verdes Estates,500,0,13522
2021-08-18,Paramount,455,7,56023
2021-08-18,Pico Rivera,490,3,64284
2021-08-18,Pomona,718,5,155931
2021-08-18,Rancho Palos Verdes,339,0,42747
2021-08-18,Redondo Beach,358,1,68697
2021-08-18,Rolling Hills,633,0,1940
2021-08-18,Rolling Hills Estates,322,0,8113
2021-08-18,Rosemead,235,0,55350
2021-08-18,San Dimas,578,2,34516
2021-08-18,San Fernando,625,0,24612
2021-08-18,San Gabriel,154,2,40954
2021-08-18,San Marino,165,4,13277
2021-08-18,Santa Clarita,617,1,220424
2021-08-18,Santa Fe Springs,675,4,18364
2021-08-18,Santa Monica,298,2,92446
2021-08-18,Sierra Madre,391,0,10989
2021-08-18,Signal Hill,385,0,11797
2021-08-18,South El Monte,404,5,20885
2021-08-18,South Gate,524,4,98155
2021-08-18,South Pasadena,366,3,26053
2021-08-18,Temple City,201,0,36455
2021-08-18,Torrance,299,0,149268
2021-08-18,Walnut,312,0,30532
2021-08-18,West Covina,385,2,108235
2021-08-18,West Hollywood,512,3,36951
2021-08-18,Westlake Village,122,0,8360
2021-08-18,Whittier,494,10,87432
2021-08-18,Los Angeles County,465,3,9651332
2021-01-08,Agoura Hills,787,12,20883
2021-01-08,Alhambra,1580,43,86724
2021-01-08,Arcadia,927,22,57754
2021-01-08,Artesia,1945,54,16795
2021-01-08,Avalon,75,0,3869
2021-01-08,Azusa,2185,58,50040
