Date,city,dose1_all,dose1_all_c,dose1_all_c_prcent,dose1_youth,dose1_youth_c,dose1_youth_c_prcent,dose1_senior,dose1_senior_c,dose1_senior_c_prcent,pop_all,pop_youth,pop_senior
2021-08-18,Agoura Hills,15,14609,77.2%,0,1216,82.6%,2,3581,96.9%,18920,1473,3696
2021-08-18,Alhambra,70,61028,79.9%,4,3580,70.9%,6,13010,88.1%,76362,5049,14764
2021-08-18,Arcadia,39,43510,81.3%,NA,3830,99.8%,4,9511,87.0%,53504,3838,10938
2021-08-18,Artesia,21,11725,77.9%,6,784,67.2%,0,2499,94.8%,15043,1166,2636
2021-08-18,Avalon,0,686,21.0%,0,20,7.5%,0,163,27.3%,3266,266,596
2021-08-18,Azusa,72,28075,63.9%,12,2046,49.3%,7,4771,87.1%,43954,4149,5478
2021-08-18,Baldwin Park,137,48219,74.1%,42,3808,55.9%,3,8555,98.9%,65069,6816,8648
2021-08-18,Bell,40,19977,66.1%,5,1889,54.1%,4,2907,87.9%,30235,3489,3306
2021-08-18,Bell Gardens,72,23299,66.5%,17,2265,53.7%,NA,3195,100.0%,35056,4216,3196
2021-08-18,Bellflower,106,43764,66.3%,9,3399,52.9%,5,7728,83.6%,65994,6430,9243
2021-08-18,Beverly Hills,15,25570,81.0%,4,1548,80.7%,2,6961,99.6%,31578,1919,6990
2021-08-18,Burbank,91,70557,75.2%,12,4245,65.3%,7,14055,86.4%,93794,6505,16273
2021-08-18,Calabasas,15,17208,78.6%,3,1637,85.6%,2,4269,99.6%,21901,1913,4285
2021-08-18,Carson,97,62325,76.1%,14,4257,64.7%,7,14886,94.7%,81850,6578,15713
2021-08-18,Cerritos,46,38841,83.1%,14,2994,96.2%,5,10932,91.6%,46721,3113,11939
2021-08-18,Claremont,19,22778,67.5%,1,1724,82.5%,2,6435,93.2%,33721,2089,6907
2021-08-18,Commerce,37,9181,84.1%,14,898,78.9%,0,1533,98.7%,10917,1138,1553
2021-08-18,Compton,200,49001,61.0%,48,4637,48.8%,9,7401,86.5%,80305,9496,8557
2021-08-18,Covina,74,31683,75.0%,6,2211,62.1%,6,6297,89.5%,42217,3558,7033
2021-08-18,Cudahy,27,13148,66.2%,3,1353,56.7%,1,1514,85.2%,19865,2388,1778
2021-08-18,Culver City,28,31223,88.2%,5,2149,84.1%,4,6601,92.3%,35395,2555,7150
2021-08-18,Diamond Bar,44,41144,79.2%,7,3063,91.6%,3,9216,90.1%,51968,3345,10228
2021-08-18,Downey,150,71517,73.5%,35,5525,61.5%,10,12859,91.7%,97261,8989,14024
2021-08-18,Duarte,18,14604,76.0%,0,901,57.9%,2,3719,92.0%,19209,1555,4042
2021-08-18,El Monte,139,71209,72.0%,36,5476,54.6%,5,12865,90.6%,98853,10027,14203
2021-08-18,El Segundo,16,13032,86.3%,NA,1077,100.0%,2,2078,91.5%,15096,1077,2272
2021-08-18,Gardena,69,38869,73.8%,14,2264,52.3%,3,8946,87.9%,52660,4325,10175
2021-08-18,Glendale,216,114999,62.2%,21,5739,49.6%,21,28000,74.7%,184755,11563,37486
2021-08-18,Glendora,58,33286,71.7%,8,2326,66.0%,4,8112,93.5%,46407,3524,8680
2021-08-18,Hawaiian Gardens,22,8023,66.4%,9,624,46.3%,2,1334,85.0%,12077,1349,1570
2021-08-18,Hawthorne,110,48569,66.6%,13,3644,50.8%,5,7514,83.1%,72950,7170,9040
2021-08-18,Hermosa Beach,14,14356,81.7%,2,995,84.2%,NA,2303,99.7%,17571,1182,2309
2021-08-18,Hidden Hills,3,1236,70.3%,NA,127,100.0%,0,301,76.0%,1758,127,396
2021-08-18,Huntington Park,79,32517,66.2%,12,2963,53.4%,7,4728,88.9%,49109,5545,5321
2021-08-18,Inglewood,154,61616,64.6%,26,4504,50.1%,11,12001,88.3%,95382,8997,13587
2021-08-18,Irwindale,4,1248,93.7%,0,94,78.3%,0,210,96.8%,1332,120,217
2021-08-18,La Canada Flintridge,8,15763,82.1%,NA,1382,99.6%,0,3858,91.1%,19192,1387,4237
2021-08-18,La Habra Heights,3,3375,66.2%,0,200,62.9%,1,1010,70.0%,5097,318,1442
2021-08-18,La Mirada,43,30571,69.5%,9,1874,58.8%,6,7665,93.7%,43990,3187,8182
2021-08-18,La Puente,64,24514,71.1%,6,1887,54.8%,3,4291,91.6%,34490,3441,4683
2021-08-18,La Verne,26,20016,66.5%,8,1143,52.7%,4,6242,93.3%,30097,2170,6693
2021-08-18,Lakewood,124,51536,73.0%,27,3532,59.8%,5,10483,86.6%,70616,5905,12110
2021-08-18,Lancaster,215,74230,55.2%,48,6078,42.6%,13,14193,84.4%,134419,14277,16810
2021-08-18,Lawndale,45,19971,70.6%,13,1656,60.1%,1,2808,81.2%,28284,2756,3460
2021-08-18,Lomita,14,12585,70.2%,3,758,52.3%,1,2998,89.0%,17918,1449,3370
2021-08-18,Long Beach,613,278882,68.9%,148,17675,50.1%,31,51385,90.8%,404580,35245,56619
2021-08-18,Lynwood,109,38081,65.3%,32,3590,52.4%,4,5478,99.8%,58354,6850,5487
2021-08-18,Malibu,10,7063,61.7%,1,394,52.5%,1,2208,71.6%,11447,750,3085
2021-08-18,Manhattan Beach,16,26916,84.5%,6,2731,87.5%,NA,5748,100.0%,31855,3122,5748
2021-08-18,Maywood,30,14952,65.4%,9,1415,51.9%,0,2174,95.1%,22856,2725,2285
2021-08-18,Monrovia,32,24722,75.0%,3,1638,60.1%,6,5036,89.1%,32973,2724,5653
2021-08-18,Montebello,64,39469,71.6%,7,2866,55.7%,6,8446,86.1%,55095,5149,9814
2021-08-18,Monterey Park,59,47814,86.7%,7,2882,80.3%,5,11130,85.2%,55132,3587,13057
2021-08-18,Norwalk,139,64830,71.4%,24,4836,55.6%,11,11813,90.3%,90824,8698,13089
2021-08-18,Palmdale,229,84345,64.0%,56,8137,56.1%,8,13651,88.9%,131811,14513,15359
